Micronesia (Federated States of),250.24,250.23,250.12,250.04,,,,,
Monaco (Desk study),0,0,0,0,0,0,0,0,0
Mongolia,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
Montenegro,,,48.43,48.43,48.43,48.43,48.43,48.43,48.43
Montserrat (Desk study),,,,,,,,,
Morocco,16.76,18.53,19.61,19.82,19.83,19.86,19.89,19.92,19.95
Mozambique,47.64,47.64,47.64,47.64,47.64,47.64,47.64,47.64,47.64
Myanmar,59.86,59.87,59.34,59.11,59.08,59.05,59.03,59.02,59.01
Namibia,31.68,31.68,31.68,31.68,31.68,31.68,31.68,31.68,31.68
Nauru (Desk study),0,0,0,0,0,0,0,0,0
Nepal,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95
Netherlands,17.1,20,24.1,26.32,26.57,26.82,27.06,27.31,27.56
New Caledonia (Desk study),68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7
New Zealand,139.85,139.19,144.66,146.7,147.07,147.25,147.51,147.62,147.33
Nicaragua,42.78,42.78,42.78,42.78,42.78,42.78,42.78,42.78,42.78
Niger,18.91,18.58,18.3,18.14,18.1,18.07,18.03,17.99,17.95
Nigeria,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34,63.34
Niue,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67
Norfolk Island (Desk study),,,,,,,,,
North Macedonia (Desk study),36.49,36.16,34.94,33.88,33.66,33.67,33.67,33.67,33.67
Northern Mariana Islands,,,,,,,,,
Norway,21.32,24.23,28.58,30.34,30.69,31.04,31.38,31.73,32.08
Oman,48.95,48.95,48.95,48.95,49.54,49.87,50.22,50.6,50.6
Pakistan,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39
Palau,208.11,208.11,208.11,208.11,,,,,
Palestine (Desk study),,,,,,,,,
Panama,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1
Papua New Guinea,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6
Paraguay,32.84,32.84,32.84,32.84,32.84,32.84,32.84,32.84,32.84
Peru,111.76,111.76,111.76,111.76,111.76,111.76,111.76,111.76,111.76
Philippines,97.5,103.04,109.34,106.24,105.64,105.05,104.46,103.87,103.29
Pitcairn (Desk study),,,,,,,,,
Poland,44,50,69,73,74,75,76,77,78
Portugal,,,20.52,20.46,,,,,
Puerto Rico,26.09,26.09,33.28,34,34.71,35.43,36.15,36.87,37.59
Qatar (Desk study),0,0,0,0,0,0,0,0,0
Republic of Korea,15.64,29.34,49.2,57.85,59.52,61.61,62.75,64.32,65.84
Republic of Moldova,44.3,44.3,46.68,46.68,46.68,46.68,46.68,46.68,46.68
Réunion,60,60,60,60,60,60,60,60,60
Romania,50,50,50,94.06,97.52,97.52,97.52,97.52,97.52
Russian Federation,33.99,35.08,36.95,37.91,38.07,38.22,38.37,38.52,38.67
Rwanda (Desk study),66.08,67.23,68.36,68.51,68.56,68.58,68.6,68.62,68.65
Saint Barthélemy (Desk study),58.52,58.52,58.52,58.52,58.52,58.52,58.52,58.52,58.52
Saint Helena (Desk study),,,,,,,,,
Saint Kitts and Nevis (Desk study),98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7
Saint Lucia,92.35,107.87,122.6,130.39,131.95,133.51,135.07,136.63,138.19
Saint Pierre and Miquelon (Desk study),12.17,12.17,12.17,12.17,12.17,12.17,12.17,12.17,12.17
Saint Vincent and the Grenadines,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99
Saint-Martin (French Part) (Desk study),58.52,58.52,58.52,58.52,58.52,58.52,58.52,58.52,58.52
Samoa,49.45,49.42,49.39,49.37,49.37,49.36,49.36,49.35,49.35
San Marino (Desk study),31.19,36.06,40.63,42.77,42.77,42.77,42.77,42.77,42.77
Sao Tome and Principe,76.38,76.38,76.38,76.38,76.38,76.38,76.38,76.38,76.38
Saudi Arabia (Desk study),12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51
Senegal,21.57,21.5,20.9,20.84,20.84,20.83,20.82,20.81,20.8
Serbia,48.38,48.44,72.76,73.74,73.76,73.6,73.67,73.73,73.79
Seychelles,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22
Sierra Leone,38.54,38.54,38.54,38.54,38.54,38.54,38.54,38.54,38.54
Singapore,49.69,49.97,54.86,62.54,63.78,63.78,63.78,63.78,63.78
Sint Maarten (Dutch part) (Desk study),,,,,,,,,
Slovakia,58.8,70.15,79.54,83.9,84.38,84.37,84.37,84.37,84.37
Slovenia,81.77,95.99,115.78,118.17,118.2,118.28,117.8,118.45,118.96
Solomon Islands,59.98,58.62,57.28,63.3,62.69,56.55,50.09,52.64,45.02
Somalia,48.17,48.17,48.17,48.17,48.17,48.17,48.17,48.17,48.17
South Africa,40.01,40.09,40.17,40.22,40.23,40.23,40.24,40.25,40.26
South Sudan,,,,,,,,,
Spain,,,26.15,26.6,27.23,27.31,27.31,27.32,27.32
Sri Lanka,37.23,37.24,37.27,37.21,37.21,37.21,37.21,37.21,37.2
Sudan,26.31,26.31,26.31,26.31,26.31,26.31,26.31,26.31,26.31
Suriname,170.55,170.55,170.55,170.55,170.55,170.55,170.55,170.55,170.55
Svalbard and Jan Mayen Islands,0,0,0,0,0,0,0,0,0
Sweden,33.21,33.21,34.37,35.48,35.63,35.78,35.93,36.09,36.24
Switzerland,,92.8,94.67,95.6,95.78,95.97,96.16,96.34,96.53
Syrian Arab Republic,23.49,23.49,23.49,23.52,23.52,23.51,23.51,23.5,23.49
Tajikistan,,,,,,,,,
Thailand,66.59,66.66,66.9,67,67,66.99,66.99,66.98,66.98
Timor-Leste,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5
Togo,57.56,57.28,57.01,56.88,56.85,56.83,56.8,56.88,56.85
Tokelau (Desk study),0,0,0,0,0,0,0,0,0
Tonga,91.39,91.39,91.39,91.39,91.39,91.39,91.39,91.39,91.39
Trinidad and Tobago,42.98,43.21,42.72,42.59,42.55,42.51,42.46,42.42,42.38
Tunisia,23.07,25.09,29.48,22.98,29.4,28.24,27.76,27.7,27.61
Turkey,16.77,18.24,22.17,24.79,25.65,25.65,25.65,25.65,25.65
Turkmenistan (Desk study),1.91,1.91,1.99,1.99,,,,,
Turks and Caicos Islands (Desk study),62.16,62.16,62.16,62.16,62.16,62.16,62.16,62.16,62.16
Tuvalu,,,,,,,,,
Uganda,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1
Ukraine,43.35,56.05,64.94,67.1,68,68,69,69,69.45
United Arab Emirates (Desk study),34.94,34.94,34.92,34.97,34.97,34.97,34.97,34.97,34.97
United Kingdom of Great Britain and Northern Ireland,37,45,52,54,55,56,56,57,58
United Republic of Tanzania,24.29,24.29,24.29,24.29,24.29,24.29,24.29,24.29,24.29
United States of America,39.25,42.44,44.88,46.32,46.69,47.02,47.33,47.33,47.33
United States Virgin Islands,13.5,13.5,20.07,21.1,22.13,23.16,24.19,25.22,26.25
Uruguay,42.03,46,49,48,48,48,47,47,46
Uzbekistan,21.19,18.75,23.38,22.64,,,,,
Vanuatu,,,,,,,,,
Venezuela (Bolivarian Republic of),98.32,97.64,97.06,96.25,96.24,96.23,96.23,96.22,96.22
Viet Nam,25.93,34.76,28.57,29.36,29.15,29.6,29.56,29.44,29.47
Wallis and Futuna Islands (Desk study),82.24,81.71,81.18,80.9,80.9,80.9,80.9,80.9,80.9
Western Sahara (Desk study),16.76,18.53,19.61,19.82,19.83,19.86,19.89,19.92,19.95
Yemen,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,
Zambia,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
Zimbabwe,49.35,49.38,49.35,49.31,49.41,44.65,44.65,44.65,44.64
© FRA 2021,,,,,,,,,
6/10/2021,,,,,,,,,
