"regions","iso3","name","year","boreal","temperate","tropical","subtropical","1a_forestArea","1a_otherWoodedLand","1a_landArea","1b_naturallyRegeneratingForest","1b_plantedForest","1b_plantationForest","1b_plantationForestIntroduced","1b_otherPlantedForest","1c_primary","1c_tempUnstocked","1c_bamboos","1c_mangroves","1c_rubber","1f_palms","1f_treeOrchards","1f_agroforestry","1f_treesUrbanSettings","1f_other","2a_gs_ha_nat_reg","2a_gs_ha_planted","2a_gs_ha_plantation","2a_gs_ha_other_planted","2a_gs_ha_forest","2a_gs_ha_owl","2a_gs_tot_nat_reg","2a_gs_tot_planted","2a_gs_tot_plantation","2a_gs_tot_other_planted","2a_gs_tot_forest","2a_gs_tot_owl","2b_native_#1","2b_native_#2","2b_native_#3","2b_native_#4","2b_native_#5","2b_native_#6","2b_native_#7","2b_native_#8","2b_native_#9","2b_native_#10","2b_native_remaining","2b_native_total","2b_introduced_#1","2b_introduced_#2","2b_introduced_#3","2b_introduced_#4","2b_introduced_#5","2b_introduced_remaining","2b_introduced_total","2b_total_gs","2c_agb","2c_bgb","2c_dwb","2d_carbon_agb","2d_carbon_bgb","2d_carbon_dw","2d_carbon_litter","2d_carbon_soil","2d_soil_depth_cm","3a_prim_prod","3a_prim_prot","3a_prim_biodiv","3a_prim_socserv","3a_prim_multi","3a_prim_other","3a_prim_no_unknown","3a_tot_prod","3a_tot_prot","3a_tot_biodiv","3a_tot_socserv","3a_tot_other","3b_protected","3b_forMngt","3b_mngtProt","4a_priv_own","4a_individ","4a_bus_inst_fo","4a_indigenous_fo","4a_pub_own","4a_fo_unknown","4b_pub_admin","4b_individuals","4b_bus_inst_mr","4b_indigenous_mr","4b_unknown","5c_y_n","6a_policies_national","6a_policies_sub_national","6a_legislation_national","6a_legislation_sub_national","6a_platform_national","6a_platform_sub_national","6a_traceability_national","6a_traceability_sub_national","6b_pfe_y_n","6b_pfe_area","7a_employment_tot","7a_employment_fem","7a_employment_male","7a_emp_forestry_tot","7a_emp_forestry_fem","7a_emp_forestry_male","7a_emp_logging_tot","7a_emp_logging_fem","7a_emp_logging_male","7a_emp_nwfp_tot","7a_emp_nwfp_fem","7a_emp_nwfp_male","7a_emp_support_tot","7a_emp_support_fem","7a_emp_support_male","7b_phd_tot","7b_phd_fem","7b_phd_male","7b_msc_tot","7b_msc_fem","7b_msc_male","7b_ba_tot","7b_ba_fem","7b_ba_male","7b_tech_tot","7b_tech_fem","7b_tech_male","7b_total_tot","7b_total_fem","7b_total_male"
"Africa","AGO","Angola",1990,0,0,100,0,"79262.78","29620.59",124670,"78302.22","960.56","960.56","0.00","0.00",,"0.00","0.00","31.17","0.00",,,,,,"35.54","254.80","254.80","0.00","38.20",,"2782.8608988","244.750688","244.750688","0","3027.838196",,,,,,,,,,,,,,,,,,,,,,"30.30","6.13","2.60","14.40","2.88","1.20",,,,"2422.00","1862.00",,,,,"74978.78","2422.00","1862.00",,,,"1862.00","0.00","0.00","0.00","0.00","0.00","0.00","79262.78","0","78302.22","0.00","0.00","0.00","960.56","no","yes","no","yes","no","yes","no","yes","no","yes","1862.00",,,,,,,,,,,,,,,,"0","0","0","0","0","0","10","3","7","52","2","50","62","5","57"
"Africa","AGO","Angola",2000,0,0,100,0,"77708.61","29039.79",124670,"76766.88","941.73","941.73","0.00","0.00",,"0.00","0.00","31.17","0.00",,,,,,"35.54","254.80","254.80","0.00","38.20",,"2728.2949152","239.952804","239.952804","0","2968.468902",,,,,,,,,,,,,,,,,,,,,,"30.30","6.13","2.60","14.40","2.88","1.20",,,,"2369.00","1862.00",,,,,"73477.61","2369.00","1862.00",,,,"1862.00","0.00","0.00","0.00","0.00","0.00","0.00","77708.61","0","76766.88","0.00","0.00","0.00","941.73","no","yes","no","yes","no","yes","no","yes","no","yes","1862.00",,,,,,,,,,,,,,,,"0","0","0","2","0","2","0","0","0","0","0","0","2","0","2"
"Africa","AGO","Angola",2010,0,0,100,0,"72158.00","26965.52",124670,"71283.53","874.46","874.46","0.00","0.00",,"0.00","0.00","31.17","0.00",,,,,,"35.54","254.80","254.80","0.00","38.20",,"2533.4166562","222.812408","222.812408","0","2756.4356",,,,,,,,,,,,,,,,,,,,,,"30.30","6.13","2.60","14.40","2.88","1.20",,,,"2317.00","1862.00",,,,,"67979","2317.00","1862.00",,,,"1862.00","0.00","0.00","0.00","0.00","0.00","0.00","72158.00","0","71283.53","0.00","0.00","0.00","874.47","no","yes","no","yes","no","yes","no","yes","no","yes","1862.00",,,,,,,,,,,,,,,,"0","0","0","3","0","3","0","0","0","41","5","36","44","5","39"
"Africa","AGO","Angola",2015,0,0,100,0,"69382.69000000000000000000","25928.38000000000000000000",124670,"68541.860000000000000000000000","840.83","840.830000000000000000000000","0.000000000000000000000000","0.000000000000000000000000","26743.00","0.00","0.00","31.17","0.00",,,,,,"35.54","254.80","254.80","0.00","38.20",,"2435.9777044","214.243484","214.243484","0","2650.418758",,,,,,,,,,,,,,,,,,,,,,"30.30","6.13","2.60","14.40","2.88","1.20",,,,"2291.00","1862.00",,,,,"65229.69","2291.00","1862.00",,,,"1862.00","0.00","0.00","0.00","0.00","0.00","0.00","69382.69","0","68541.86","0.00","0.00","0.00","840.83","no","yes","no","yes","no","yes","no","yes","no","yes","1862.00",,,,,,,,,,,,,,,,"0","0","0","1","0","1","18","5","13","20","2","18","39","7","42"
"Africa","AGO","Angola",2020,0,0,100,0,"66607.38","24891.24",124670,"65800.19","807.20","807.20","0.00","0.00","26743.00","0.00","0.00","31.17","0.00",,,,,,"35.54","254.80","254.80","0.00","38.20",,"2338.5387526","205.67456","205.67456","0","2544.401916",,,,,,,,,,,,,,,,,,,,,,"30.30","6.13","2.60","14.40","2.88","1.20",,,,"2289.80","1862.00",,,,,"62455.58","2289.80","1862.00",,,,"1862.00","0.00","0.00",,,,,,,,,,,,"no","yes","no","yes","no","yes","no","yes","no","yes","1862.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North and Central America","AIA","Anguilla",1990,0,0,100,0,"5.50","0.00",9,,,,,,"0.00",,,"0.09","0.00",,,,,,,,,,"123.00",,,,,,"0.6765",,,,,,,,,,,,,,,,,,,,,,"210.00","59.00",,"98.70","27.73",,,,,,,,,,,"5.5",,,,,,,,,,,,,,"5.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"North and Central America","AIA","Anguilla",2000,0,0,100,0,"5.50","0.00",9,,,,,,"0.00",,,"0.09","0.00",,,,,,,,,,"123.00",,,,,,"0.6765",,,,,,,,,,,,,,,,,,,,,,"210.00","59.00",,"98.70","27.73",,,,,,,,,,,"5.5",,,,,,,,,,,,,,"5.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"North and Central America","AIA","Anguilla",2010,0,0,100,0,"5.50","0.00",9,,,,,,"0.00",,,"0.09","0.00",,,,,,,,,,"123.00",,,,,,"0.6765",,,,,,,,,,,,,,,,,,,,,,"210.00","59.00",,"98.70","27.73",,,,,,,,,,,"5.5",,,,,,,,,,,,,,"5.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"North and Central America","AIA","Anguilla",2015,0,0,100,0,"5.50","0.00",9,,,,,,"0.00",,,"0.09","0.00",,,,,,,,,,"123.00",,,,,,"0.6765",,,,,,,,,,,,,,,,,,,,,,"210.00","59.00",,"98.70","27.73",,,,,,,,,,,"5.5",,,,,,,,,,,,,,"5.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"North and Central America","AIA","Anguilla",2020,0,0,100,0,"5.50","0.00",9,,,,,,"0.00",,,"0.09","0.00",,,,,,,,,,"123.00",,,,,,"0.6765",,,,,,,,,,,,,,,,,,,,,,"210.00","59.00",,"98.70","27.73",,,,,,,,,,,"5.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe","ALB","Albania",1990,0,40,0,60,"788.80","256.00",2740,,,,,,"84.80",,"0.00","0.00","0.00",,,,,,,,,,"95.39807302231237322515",,,,,,"75.25",,"37.77","15.07","10.37","3.93",,,,"3.54","4.57",,,"75.25",,,,,,,,"75.25",,,,,,,,,,"685.00","86.90","16.90",,,,"0",,,,,,"103.70",,,"0.00","0.00","0.00","0.00","788.80","0",,,,,"788.8",,"yes","yes","yes","yes",,,,,"yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe","ALB","Albania",2000,0,40,0,60,"769.30","255.00",2740,,,,,,"84.80",,"0.00","0.00","0.00",,,,,,,,,,"98.55712985831275185233",,,,,,"75.82",,"37.93","14.35","11.37","3.96",,,,"3.81","4.41",,,"75.83",,,,,,,,"75.83",,,,,,,,,,"620.00","96.80","52.40",,,,"0.1",,,,,,"149.20",,,"6.80","0.00","0.00","0.00","762.50","0",,,,,"762.5",,"yes","yes","yes","yes",,,,,"yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe","ALB","Albania",2010,0,40,0,60,"782.0700000000000000","260.6900000000000000",2740,"711.6837000000000000","70.39","70.3863000000000000",,"0.000000000000000000000000","84.80",,"0.00","0.00","0.00",,,,,"29.12",,,,,"97.81733092945644251793",,,,,,"76.50",,"37.88","14.40","10.96","3.95",,,,"3.57","4.24",,"1.50","76.5",,,,,,,,"76.5",,,,,,,,,,"614.20","131.10","31.00",,,,"5.77",,,,,,"162.10","776.30",,"20.57","0.00","0.00","0.00","761.50","0",,,,,"761.5",,"yes","yes","yes","yes",,,,,"yes","776.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe","ALB","Albania",2015,0,40,0,60,"789.1875000000000000","263.0625000000000000",2740,,,,,,"84.80",,"0.00","0.00","0.00",,,,,"25.32",,,,,"70.00871149124891106359",,,,,,"55.25",,"24.50","11.00","6.54","2.32","2.09","1.98","0.07","2.81","2.87","1.07","0.00","55.25",,,,,,,,"55.25",,,,,,,,,,"629.00","130.00","31.00",,,,"-0.8125",,,,,,,,,"21.62","0.00","0.00","0.00","767.57","-0.0025",,,,,"767.57",,"yes","yes","yes","yes",,,,,"yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe","ALB","Albania",2020,0,40,0,60,"788.90","262.97",2740,,,,,,"84.80",,"0.00","0.00","0.00",,,,,,,,,,"69.62859678032703764736",,,,,,"54.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"628.00","130.00","31.00",,,,"-0.1",,,,,,,,,,,,,,,,,,,,,"yes","yes","yes","yes",,,,,"yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
