"regions","iso3","name","year","boreal","temperate","tropical","subtropical","1d_expansion","1d_afforestation","1d_nat_exp","1d_deforestation","1e_reforestation"
"FOREST EUROPE, Europe, UNECE","MCO","Monaco","2000-2010",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"FOREST EUROPE, Europe, UNECE","MCO","Monaco","2010-2015",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"FOREST EUROPE, Europe, UNECE","MCO","Monaco","2015-2020",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"UNECE, FOREST EUROPE, Europe","MDA","Republic of Moldova","1990-2000",0,100,0,0,"2.78","0.43",,"0.88","3.95"
"UNECE, FOREST EUROPE, Europe","MDA","Republic of Moldova","2000-2010",0,100,0,0,"4.81","4.81",,"1.80","4.87"
"UNECE, FOREST EUROPE, Europe","MDA","Republic of Moldova","2010-2015",0,100,0,0,"3.31","0.27",,"0.93","5.43"
"UNECE, FOREST EUROPE, Europe","MDA","Republic of Moldova","2015-2020",0,100,0,0,"0.36","0.36",,"0.34","2.02"
"International Tropical Timber Organization, Africa","MDG","Madagascar","1990-2000",0,0,100,0,"3.60","3.60",,"70.50",
"International Tropical Timber Organization, Africa","MDG","Madagascar","2000-2010",0,0,100,0,,,,,
"International Tropical Timber Organization, Africa","MDG","Madagascar","2010-2015",0,0,100,0,,,,,
"International Tropical Timber Organization, Africa","MDG","Madagascar","2015-2020",0,0,100,0,,,,,
"Asia","MDV","Maldives","1990-2000",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Asia","MDV","Maldives","2000-2010",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Asia","MDV","Maldives","2010-2015",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Asia","MDV","Maldives","2015-2020",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"North and Central America, Montreal Process, International Tropical Timber Organization","MEX","Mexico","1990-2000","0.00","0.00","56.76","43.24","464.78","0.78","464.00","685.81","129.60"
"North and Central America, Montreal Process, International Tropical Timber Organization","MEX","Mexico","2000-2010","0.00","0.00","56.76","43.24","281.05","2.71","278.34","424.85","232.60"
"North and Central America, Montreal Process, International Tropical Timber Organization","MEX","Mexico","2010-2015","0.00","0.00","56.76","43.24","89.13","3.51","85.63","211.61","297.00"
"North and Central America, Montreal Process, International Tropical Timber Organization","MEX","Mexico","2015-2020","0.00","0.00","56.76","43.24","38.05","3.30","34.75","165.82","159.20"
"Oceania","MHL","Marshall Islands","1990-2000",0,0,100,0,,,,,
"Oceania","MHL","Marshall Islands","2000-2010",0,0,100,0,,,,,
"Oceania","MHL","Marshall Islands","2010-2015",0,0,100,0,,,,,
"Oceania","MHL","Marshall Islands","2015-2020",0,0,100,0,,,,,
"FOREST EUROPE, UNECE, Europe","MKD","North Macedonia","1990-2000",0,59,0,41,,,,,
"FOREST EUROPE, UNECE, Europe","MKD","North Macedonia","2000-2010",0,59,0,41,,"0.71",,,"1.68"
"FOREST EUROPE, UNECE, Europe","MKD","North Macedonia","2010-2015",0,59,0,41,,"0.76",,,"1.00"
"FOREST EUROPE, UNECE, Europe","MKD","North Macedonia","2015-2020",0,59,0,41,,"0.40",,,"0.54"
"International Tropical Timber Organization, Africa","MLI","Mali","1990-2000",0,0,100,0,"5.00","5.00","0.00","84.00",
"International Tropical Timber Organization, Africa","MLI","Mali","2000-2010",0,0,100,0,"30.00","30.00","0.00","109.00",
"International Tropical Timber Organization, Africa","MLI","Mali","2010-2015",0,0,100,0,"0.00","0.00","0.00","79.00",
"International Tropical Timber Organization, Africa","MLI","Mali","2015-2020",0,0,100,0,"0.00","0.00","0.00","0.00",
"FOREST EUROPE, International Tropical Timber Organization, UNECE, Europe, EU-27","MLT","Malta","1990-2000",0,0,0,100,,,,,
"FOREST EUROPE, International Tropical Timber Organization, UNECE, Europe, EU-27","MLT","Malta","2000-2010",0,0,0,100,,,,,
"FOREST EUROPE, International Tropical Timber Organization, UNECE, Europe, EU-27","MLT","Malta","2010-2015",0,0,0,100,,,,,
"FOREST EUROPE, International Tropical Timber Organization, UNECE, Europe, EU-27","MLT","Malta","2015-2020",0,0,0,100,,,,,
"International Tropical Timber Organization, Asia","MMR","Myanmar","1990-2000","0.00","0.00","100.00","0.00","0.00","0.00",,"435.00",
"International Tropical Timber Organization, Asia","MMR","Myanmar","2000-2010","0.00","0.00","100.00","0.00","27.45","27.45",,"370.15",
"International Tropical Timber Organization, Asia","MMR","Myanmar","2010-2015","0.00","0.00","100.00","0.00","20.16","20.16",,"309.87",
"International Tropical Timber Organization, Asia","MMR","Myanmar","2015-2020","0.00","0.00","100.00","0.00","4.21","4.21",,"293.92",
"UNECE, Europe, FOREST EUROPE","MNE","Montenegro","1990-2000",0,68,0,32,,,,,
"UNECE, Europe, FOREST EUROPE","MNE","Montenegro","2000-2010",0,68,0,32,,,,,
"UNECE, Europe, FOREST EUROPE","MNE","Montenegro","2010-2015",0,68,0,32,"28.20","0.50","27.70","28.20","2.20"
"UNECE, Europe, FOREST EUROPE","MNE","Montenegro","2015-2020",0,68,0,32,"12.00","0.30","11.70","12.00","1.10"
"Asia","MNG","Mongolia","1990-2000",53,47,0,0,"0.25","0.11","0.14","9.06","5.02"
"Asia","MNG","Mongolia","2000-2010",53,47,0,0,"0.25","0.15","0.10","8.25","7.90"
"Asia","MNG","Mongolia","2010-2015",53,47,0,0,"0.41","0.30","0.10","1.52","9.20"
"Asia","MNG","Mongolia","2015-2020",53,47,0,0,"0.41","0.30","0.10","1.52","6.50"
"Oceania","MNP","Northern Mariana Islands","1990-2000",0,0,100,0,,,,,
"Oceania","MNP","Northern Mariana Islands","2000-2010",0,0,100,0,,,,,
"Oceania","MNP","Northern Mariana Islands","2010-2015",0,0,100,0,,,,,
"Oceania","MNP","Northern Mariana Islands","2015-2020",0,0,100,0,,,,,
"Africa, International Tropical Timber Organization","MOZ","Mozambique","1990-2000",0,0,100,0,"0.00","0.00","0.00","219.00","0.00"
"Africa, International Tropical Timber Organization","MOZ","Mozambique","2000-2010",0,0,100,0,"45.44",,,"267.03","1.13"
"Africa, International Tropical Timber Organization","MOZ","Mozambique","2010-2015",0,0,100,0,"60.60",,,"267.03","2.27"
"Africa, International Tropical Timber Organization","MOZ","Mozambique","2015-2020",0,0,100,0,"27.78",,,"267.03","1.66"
"Africa","MRT","Mauritania","1990-2000",0,0,100,0,"32.28","32.28",,"37.72","8.27"
"Africa","MRT","Mauritania","2000-2010",0,0,100,0,"35.00","2.08",,"40.44","4.55"
"Africa","MRT","Mauritania","2010-2015",0,0,100,0,"37.35","2.35",,"42.79","3.52"
"Africa","MRT","Mauritania","2015-2020",0,0,100,0,"39.93","2.50",,"45.38","4.00"
"North and Central America","MSR","Montserrat","1990-2000",0,0,100,0,,,,,
"North and Central America","MSR","Montserrat","2000-2010",0,0,100,0,,,,,
"North and Central America","MSR","Montserrat","2010-2015",0,0,100,0,,,,,
"North and Central America","MSR","Montserrat","2015-2020",0,0,100,0,,,,,
"North and Central America","MTQ","Martinique","1990-2000",0,0,100,0,"0.17","0.15","0.02","0.08","0.00"
"North and Central America","MTQ","Martinique","2000-2010",0,0,100,0,"0.29","0.09","0.20","0.14","0.00"
"North and Central America","MTQ","Martinique","2010-2015",0,0,100,0,"0.36","0.01","0.35","0.16","0.00"
"North and Central America","MTQ","Martinique","2015-2020",0,0,100,0,"0.36","0.00","0.36","0.16","0.00"
"Africa","MUS","Mauritius","1990-2000",0,0,100,0,"0.10",,,"0.01","0.03"
"Africa","MUS","Mauritius","2000-2010",0,0,100,0,"0.01",,,"0.36","0.03"
"Africa","MUS","Mauritius","2010-2015",0,0,100,0,"0.08",,,"0.10","0.04"
"Africa","MUS","Mauritius","2015-2020",0,0,100,0,"0.21",,,"0.12","0.05"
"Africa","MWI","Malawi","1990-2000",0,0,100,0,"0.00",,,"42.00",
"Africa","MWI","Malawi","2000-2010",0,0,100,0,"0.00",,,"42.00",
"Africa","MWI","Malawi","2010-2015",0,0,100,0,"0.00",,,"42.00",
"Africa","MWI","Malawi","2015-2020",0,0,100,0,"0.00",,,"42.00",
"Asia, International Tropical Timber Organization","MYS","Malaysia","1990-2000",0,0,100,0,,,,,
"Asia, International Tropical Timber Organization","MYS","Malaysia","2000-2010",0,0,100,0,,,,,
"Asia, International Tropical Timber Organization","MYS","Malaysia","2010-2015",0,0,100,0,,,,,
"Asia, International Tropical Timber Organization","MYS","Malaysia","2015-2020",0,0,100,0,,,,,
"Africa","MYT","Mayotte","1990-2000",0,0,100,0,"0.03","0.03","0.00","0.37","0.01"
"Africa","MYT","Mayotte","2000-2010",0,0,100,0,"0.08","0.08","0.00","0.21","0.05"
"Africa","MYT","Mayotte","2010-2015",0,0,100,0,"0.01","0.01","0.00","0.06","0.01"
"Africa","MYT","Mayotte","2015-2020",0,0,100,0,"0.01","0.01","0.00","0.06","0.01"
"Africa","NAM","Namibia","1990-2000",0,0,100,0,,,,,"0.00"
"Africa","NAM","Namibia","2000-2010",0,0,100,0,,,,,"0.00"
"Africa","NAM","Namibia","2010-2015",0,0,100,0,,,,,"0.00"
"Africa","NAM","Namibia","2015-2020",0,0,100,0,,,,,"0.00"
"Oceania","NCL","New Caledonia","1990-2000",0,0,100,0,,"0.08",,,
"Oceania","NCL","New Caledonia","2000-2010",0,0,100,0,,"0.06",,,
"Oceania","NCL","New Caledonia","2010-2015",0,0,100,0,,,,,
"Oceania","NCL","New Caledonia","2015-2020",0,0,100,0,,,,,
"Africa","NER","Niger","1990-2000",0,0,100,0,"2.50","2.50",,"64.19","15.00"
"Africa","NER","Niger","2000-2010",0,0,100,0,"2.50","2.50",,"14.92","15.00"
"Africa","NER","Niger","2010-2015",0,0,100,0,"2.50","2.50",,"14.92","15.00"
"Africa","NER","Niger","2015-2020",0,0,100,0,"2.50","2.50",,"14.92","15.00"
"Oceania","NFK","Norfolk Island","1990-2000",0,0,0,100,,,,,
"Oceania","NFK","Norfolk Island","2000-2010",0,0,0,100,,,,,
"Oceania","NFK","Norfolk Island","2010-2015",0,0,0,100,,,,,
"Oceania","NFK","Norfolk Island","2015-2020",0,0,0,100,,,,,
"Africa","NGA","Nigeria","1990-2000",0,0,100,0,"0.01",,,"163.31","16.33"
"Africa","NGA","Nigeria","2000-2010",0,0,100,0,"0.00",,,"163.31","16.33"
"Africa","NGA","Nigeria","2010-2015",0,0,100,0,"0.00",,,"163.31","16.33"
"Africa","NGA","Nigeria","2015-2020",0,0,100,0,"0.01",,,"163.31","16.33"
"North and Central America","NIC","Nicaragua","1990-2000",0,0,100,0,"0.20","0.20","0.00","100.20","3.31"
"North and Central America","NIC","Nicaragua","2000-2010",0,0,100,0,"1.37","1.37","0.00","122.49","16.34"
"North and Central America","NIC","Nicaragua","2010-2015",0,0,100,0,"5.03","5.03","0.00","61.15","19.17"
"North and Central America","NIC","Nicaragua","2015-2020",0,0,100,0,"5.03","5.03","0.00","105.03","22.64"
"Oceania","NIU","Niue","1990-2000",0,0,100,0,,,,,
"Oceania","NIU","Niue","2000-2010",0,0,100,0,,,,,
"Oceania","NIU","Niue","2010-2015",0,0,100,0,,,,,
"Oceania","NIU","Niue","2015-2020",0,0,100,0,,,,,
"UNECE, FOREST EUROPE, EU-27, International Tropical Timber Organization, Europe","NLD","Netherlands","1990-2000",0,100,0,0,"2.56","2.56","0.00","1.14","6.40"
"UNECE, FOREST EUROPE, EU-27, International Tropical Timber Organization, Europe","NLD","Netherlands","2000-2010",0,100,0,0,"4.00","4.00","0.00","2.60","7.70"
"UNECE, FOREST EUROPE, EU-27, International Tropical Timber Organization, Europe","NLD","Netherlands","2010-2015",0,100,0,0,"2.79","2.79","0.00","4.52","9.00"
"UNECE, FOREST EUROPE, EU-27, International Tropical Timber Organization, Europe","NLD","Netherlands","2015-2020",0,100,0,0,"3.12","3.12","0.00","2.19","10.30"
"FOREST EUROPE, UNECE, Europe, International Tropical Timber Organization","NOR","Norway","1990-2000",93,7,0,0,"3.02","0.96","2.06","4.92","21.80"
"FOREST EUROPE, UNECE, Europe, International Tropical Timber Organization","NOR","Norway","2000-2010",93,7,0,0,"5.40","0.32","5.08","6.50","13.48"
"FOREST EUROPE, UNECE, Europe, International Tropical Timber Organization","NOR","Norway","2010-2015",93,7,0,0,"13.78","0.18","13.60","5.98","13.87"
"FOREST EUROPE, UNECE, Europe, International Tropical Timber Organization","NOR","Norway","2015-2020",93,7,0,0,"13.62","0.15","13.47","5.82","18.15"
"Asia","NPL","Nepal","1990-2000","0.00","32.00","30.00","38.00","11.00","4.00","7.00","0.12","13.30"
"Asia","NPL","Nepal","2000-2010","0.00","32.00","30.00","38.00","20.00","8.00","12.00","1.87","44.10"
"Asia","NPL","Nepal","2010-2015","0.00","32.00","30.00","38.00","0.00","0.00","0.00","0.00","0.00"
"Asia","NPL","Nepal","2015-2020","0.00","32.00","30.00","38.00","0.00","0.00","0.00","0.00","0.00"
"Oceania","NRU","Nauru","1990-2000",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Oceania","NRU","Nauru","2000-2010",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Oceania","NRU","Nauru","2010-2015",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Oceania","NRU","Nauru","2015-2020",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"International Tropical Timber Organization, Montreal Process, Oceania","NZL","New Zealand","1990-2000","12.63","66.28","4.20","16.89","63.30","62.00","1.30","15.48","29.00"
"International Tropical Timber Organization, Montreal Process, Oceania","NZL","New Zealand","2000-2010","12.63","66.28","4.20","16.89","17.80","15.00","2.80","18.03","40.00"
"International Tropical Timber Organization, Montreal Process, Oceania","NZL","New Zealand","2010-2015","12.63","66.28","4.20","16.89","8.31","8.00","0.31","8.61","46.00"
"International Tropical Timber Organization, Montreal Process, Oceania","NZL","New Zealand","2015-2020","12.63","66.28","4.20","16.89","15.78","12.00","3.90","6.58","50.00"
"Asia","OMN","Oman","1990-2000",0,0,100,0,,,,,
"Asia","OMN","Oman","2000-2010",0,0,100,0,,,,,
"Asia","OMN","Oman","2010-2015",0,0,100,0,,,,,
"Asia","OMN","Oman","2015-2020",0,0,100,0,,,,,
"Asia","PAK","Pakistan","1990-2000",0,1,1,98,,,,,
"Asia","PAK","Pakistan","2000-2010",0,1,1,98,,,,,"11.31"
"Asia","PAK","Pakistan","2010-2015",0,1,1,98,,,,,"14.70"
"Asia","PAK","Pakistan","2015-2020",0,1,1,98,,,,,
"International Tropical Timber Organization, North and Central America","PAN","Panama","1990-2000",0,0,100,0,"2.42","2.42",,"18.95","1.04"
"International Tropical Timber Organization, North and Central America","PAN","Panama","2000-2010",0,0,100,0,"2.31","2.31",,"13.73","0.99"
"International Tropical Timber Organization, North and Central America","PAN","Panama","2010-2015",0,0,100,0,"1.10","1.10",,"12.52","0.47"
"International Tropical Timber Organization, North and Central America","PAN","Panama","2015-2020",0,0,100,0,"1.08","1.08",,"12.49","0.46"
"Oceania","PCN","Pitcairn","1990-2000",0,0,100,0,,,,,
"Oceania","PCN","Pitcairn","2000-2010",0,0,100,0,,,,,
"Oceania","PCN","Pitcairn","2010-2015",0,0,100,0,,,,,
"Oceania","PCN","Pitcairn","2015-2020",0,0,100,0,,,,,
"South America, International Tropical Timber Organization","PER","Peru","1990-2000",0,0,100,0,"45.21","45.21","0.00","160.28",
"South America, International Tropical Timber Organization","PER","Peru","2000-2010",0,0,100,0,"25.48","25.48","0.00","150.28",
"South America, International Tropical Timber Organization","PER","Peru","2010-2015",0,0,100,0,"17.45","17.45","0.00","188.50",
"South America, International Tropical Timber Organization","PER","Peru","2015-2020",0,0,100,0,"6.26","6.26","0.00","179.09",
"Asia, International Tropical Timber Organization","PHL","Philippines","1990-2000",0,0,100,0,,,,,"65.62"
"Asia, International Tropical Timber Organization","PHL","Philippines","2000-2010",0,0,100,0,,,,,"27.01"
"Asia, International Tropical Timber Organization","PHL","Philippines","2010-2015",0,0,100,0,,,,,"210.93"
"Asia, International Tropical Timber Organization","PHL","Philippines","2015-2020",0,0,100,0,,,,,"280.63"
"Oceania","PLW","Palau","1990-2000",0,0,100,0,,,,,
"Oceania","PLW","Palau","2000-2010",0,0,100,0,,,,,
"Oceania","PLW","Palau","2010-2015",0,0,100,0,,,,,
"Oceania","PLW","Palau","2015-2020",0,0,100,0,,,,,
"Oceania, International Tropical Timber Organization","PNG","Papua New Guinea","1990-2000","0.00","0.00","100.00","0.00","0.00","0.00","0.00","12.17","0.00"
"Oceania, International Tropical Timber Organization","PNG","Papua New Guinea","2000-2010","0.00","0.00","100.00","0.00","0.00","0.00","0.00","9.91","0.00"
"Oceania, International Tropical Timber Organization","PNG","Papua New Guinea","2010-2015","0.00","0.00","100.00","0.00","0.00","0.00","0.00","30.90","0.00"
"Oceania, International Tropical Timber Organization","PNG","Papua New Guinea","2015-2020","0.00","0.00","100.00","0.00","0.00","0.00","0.00","33.53","0.00"
"EU-27, UNECE, International Tropical Timber Organization, FOREST EUROPE, Europe","POL","Poland","1990-2000",0,100,0,0,"18.21",,,"0.51","50.69"
"EU-27, UNECE, International Tropical Timber Organization, FOREST EUROPE, Europe","POL","Poland","2000-2010",0,100,0,0,"27.58",,,"0.58","45.12"
"EU-27, UNECE, International Tropical Timber Organization, FOREST EUROPE, Europe","POL","Poland","2010-2015",0,100,0,0,"18.82",,,"0.62","52.94"
"EU-27, UNECE, International Tropical Timber Organization, FOREST EUROPE, Europe","POL","Poland","2015-2020",0,100,0,0,"13.37",,,"0.77","54.92"
"North and Central America","PRI","Puerto Rico","1990-2000",0,0,"0.00","100.00",,,,,
"North and Central America","PRI","Puerto Rico","2000-2010",0,0,"0.00","100.00",,,,,
"North and Central America","PRI","Puerto Rico","2010-2015",0,0,"0.00","100.00",,,,,
"North and Central America","PRI","Puerto Rico","2015-2020",0,0,"0.00","100.00",,,,,
"Asia","PRK","Democratic People's Republic of Korea","1990-2000",0,100,0,0,"1.97",,,"47.70",
"Asia","PRK","Democratic People's Republic of Korea","2000-2010",0,100,0,0,"1.96",,,"23.19",
"Asia","PRK","Democratic People's Republic of Korea","2010-2015",0,100,0,0,"1.96",,,"23.19",
"Asia","PRK","Democratic People's Republic of Korea","2015-2020",0,100,0,0,"1.96",,,"23.19",
"FOREST EUROPE, EU-27, Europe, UNECE, International Tropical Timber Organization","PRT","Portugal","1990-2000","0.00","100.00","0.00","0.00",,,,,
"FOREST EUROPE, EU-27, Europe, UNECE, International Tropical Timber Organization","PRT","Portugal","2000-2010","0.00","100.00","0.00","0.00",,,,,
"FOREST EUROPE, EU-27, Europe, UNECE, International Tropical Timber Organization","PRT","Portugal","2010-2015","0.00","100.00","0.00","0.00","51.60","26.50","25.10","39.60","42.70"
"FOREST EUROPE, EU-27, Europe, UNECE, International Tropical Timber Organization","PRT","Portugal","2015-2020","0.00","100.00","0.00","0.00",,,,,
"South America","PRY","Paraguay","1990-2000",0,0,100,0,"0.00",,,"255.42",
"South America","PRY","Paraguay","2000-2010",0,0,100,0,"0.00",,,"342.14",
"South America","PRY","Paraguay","2010-2015",0,0,100,0,"0.00",,,"414.25",
"South America","PRY","Paraguay","2015-2020",0,0,100,0,"0.00",,,"279.34",
"Asia","PSE","Palestine","1990-2000",0,0,54,46,,,,,
"Asia","PSE","Palestine","2000-2010",0,0,54,46,,,,,
"Asia","PSE","Palestine","2010-2015",0,0,54,46,,,,,
"Asia","PSE","Palestine","2015-2020",0,0,54,46,,,,,
"Oceania","PYF","French Polynesia","1990-2000",0,0,100,0,,"0.41",,,
"Oceania","PYF","French Polynesia","2000-2010",0,0,100,0,,"0.09",,,
"Oceania","PYF","French Polynesia","2010-2015",0,0,100,0,,,,,
"Oceania","PYF","French Polynesia","2015-2020",0,0,100,0,,,,,
"Asia","QAT","Qatar","1990-2000",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"Asia","QAT","Qatar","2000-2010",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"Asia","QAT","Qatar","2010-2015",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"Asia","QAT","Qatar","2015-2020",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"Africa","REU","Réunion","1990-2000",0,0,100,0,"0.30",,,"0.00","0.00"
"Africa","REU","Réunion","2000-2010",0,0,100,0,"0.30",,,"0.00","0.00"
"Africa","REU","Réunion","2010-2015",0,0,100,0,"0.41",,,"0.00","0.00"
"Africa","REU","Réunion","2015-2020",0,0,100,0,"0.48",,,"0.00","0.00"
"Europe, FOREST EUROPE, International Tropical Timber Organization, UNECE, EU-27","ROU","Romania","1990-2000",0,100,0,0,,"1.13",,,"13.60"
"Europe, FOREST EUROPE, International Tropical Timber Organization, UNECE, EU-27","ROU","Romania","2000-2010",0,100,0,0,"15.08","2.76",,"0.18","13.13"
"Europe, FOREST EUROPE, International Tropical Timber Organization, UNECE, EU-27","ROU","Romania","2010-2015",0,100,0,0,"69.31","1.10",,"0.11","24.93"
"Europe, FOREST EUROPE, International Tropical Timber Organization, UNECE, EU-27","ROU","Romania","2015-2020",0,100,0,0,"13.63","0.48",,"0.02","27.93"
"FOREST EUROPE, UNECE, Europe, Montreal Process","RUS","Russian Federation","1990-2000","88.00","12.00","0.00","0.00","31.86","0.00","31.86","0.00","1178.70"
"FOREST EUROPE, UNECE, Europe, Montreal Process","RUS","Russian Federation","2000-2010","88.00","12.00","0.00","0.00","586.71","0.00","586.71","0.00","859.80"
"FOREST EUROPE, UNECE, Europe, Montreal Process","RUS","Russian Federation","2010-2015","88.00","12.00","0.00","0.00","0.00","0.00","0.00","41.03","848.10"
"FOREST EUROPE, UNECE, Europe, Montreal Process","RUS","Russian Federation","2015-2020","88.00","12.00","0.00","0.00","76.23","0.00","76.23","0.00","944.80"
"Africa, Espace COMIFAC","RWA","Rwanda","1990-2000",0,0,100,0,,,,,"1.38"
"Africa, Espace COMIFAC","RWA","Rwanda","2000-2010",0,0,100,0,,,,,"1.19"
"Africa, Espace COMIFAC","RWA","Rwanda","2010-2015",0,0,100,0,,,,,"1.19"
"Africa, Espace COMIFAC","RWA","Rwanda","2015-2020",0,0,100,0,,,,,"1.19"
"Asia","SAU","Saudi Arabia","1990-2000",0,0,100,0,,,,,
"Asia","SAU","Saudi Arabia","2000-2010",0,0,100,0,,,,,
"Asia","SAU","Saudi Arabia","2010-2015",0,0,100,0,,,,,
"Asia","SAU","Saudi Arabia","2015-2020",0,0,100,0,,,,,
"Africa","SDN","Sudan","1990-2000",0,0,100,0,"226.98",,"226.98","403.73","20.00"
"Africa","SDN","Sudan","2000-2010",0,0,100,0,"209.54",,"209.54","381.70","35.00"
"Africa","SDN","Sudan","2010-2015",0,0,100,0,"98.29",,"98.29","272.54","30.00"
"Africa","SDN","Sudan","2015-2020",0,0,100,0,"93.92",,"93.92","264.00","30.00"
"Africa","SEN","Senegal","1990-2000",0,0,100,0,,,,,"15.61"
"Africa","SEN","Senegal","2000-2010",0,0,100,0,,,,,"17.53"
"Africa","SEN","Senegal","2010-2015",0,0,100,0,"11.00",,,"51.00","15.13"
"Africa","SEN","Senegal","2015-2020",0,0,100,0,"11.00",,,"51.00","10.65"
"Asia","SGP","Singapore","1990-2000",0,0,100,0,"0.50","0.00","0.50","0.28",
"Asia","SGP","Singapore","2000-2010",0,0,100,0,"0.21","0.00","0.21","0.14",
"Asia","SGP","Singapore","2010-2015",0,0,100,0,"0.05","0.00","0.05","0.30",
"Asia","SGP","Singapore","2015-2020",0,0,100,0,"0.06","0.00","0.06","0.24",
"Africa","SHN","Saint Helena","1990-2000",0,0,100,0,,"0.00",,,"0.00"
"Africa","SHN","Saint Helena","2000-2010",0,0,100,0,,"0.00",,,"0.00"
"Africa","SHN","Saint Helena","2010-2015",0,0,100,0,,"0.00",,,"0.00"
"Africa","SHN","Saint Helena","2015-2020",0,0,100,0,,"0.00",,,"0.00"
"Europe","SJM","Svalbard and Jan Mayen Islands","1990-2000",100,0,0,0,"0.00","0.00","0.00","0.00","0.00"
"Europe","SJM","Svalbard and Jan Mayen Islands","2000-2010",100,0,0,0,"0.00","0.00","0.00","0.00","0.00"
"Europe","SJM","Svalbard and Jan Mayen Islands","2010-2015",100,0,0,0,"0.00","0.00","0.00","0.00","0.00"
"Europe","SJM","Svalbard and Jan Mayen Islands","2015-2020",100,0,0,0,"0.00","0.00","0.00","0.00","0.00"
"Oceania","SLB","Solomon Islands","1990-2000",0,0,100,0,,,,,"1.50"
"Oceania","SLB","Solomon Islands","2000-2010",0,0,100,0,,,,,"4.00"
"Oceania","SLB","Solomon Islands","2010-2015",0,0,100,0,,,,,"5.50"
"Oceania","SLB","Solomon Islands","2015-2020",0,0,100,0,,,,,"6.00"
"Africa","SLE","Sierra Leone","1990-2000",0,0,100,0,,,,,"0.05"
"Africa","SLE","Sierra Leone","2000-2010",0,0,100,0,,,,,"0.27"
"Africa","SLE","Sierra Leone","2010-2015",0,0,100,0,,,,,"0.27"
"Africa","SLE","Sierra Leone","2015-2020",0,0,100,0,,,,,"0.27"
"North and Central America","SLV","El Salvador","1990-2000",0,0,100,0,"0.00",,,"4.50",
"North and Central America","SLV","El Salvador","2000-2010",0,0,100,0,"0.00",,,"4.50",
"North and Central America","SLV","El Salvador","2010-2015",0,0,100,0,"0.00",,,"4.50",
"North and Central America","SLV","El Salvador","2015-2020",0,0,100,0,"0.00",,,"4.50",
"UNECE, Europe","SMR","San Marino","1990-2000",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"UNECE, Europe","SMR","San Marino","2000-2010",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"UNECE, Europe","SMR","San Marino","2010-2015",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"UNECE, Europe","SMR","San Marino","2015-2020",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"Africa","SOM","Somalia","1990-2000",0,0,100,0,"0.00",,,"76.75",
"Africa","SOM","Somalia","2000-2010",0,0,100,0,"0.00",,,"76.75",
"Africa","SOM","Somalia","2010-2015",0,0,100,0,"0.00",,,"76.75",
"Africa","SOM","Somalia","2015-2020",0,0,100,0,"0.00",,,"76.75",
"North and Central America","SPM","Saint Pierre and Miquelon","1990-2000",100,0,0,0,,"0.00",,,"0.00"
"North and Central America","SPM","Saint Pierre and Miquelon","2000-2010",100,0,0,0,,"0.00",,,"0.00"
"North and Central America","SPM","Saint Pierre and Miquelon","2010-2015",100,0,0,0,,"0.00",,,"0.00"
"North and Central America","SPM","Saint Pierre and Miquelon","2015-2020",100,0,0,0,,"0.00",,,"0.00"
"Europe, UNECE, FOREST EUROPE","SRB","Serbia","1990-2000",0,100,0,0,"14.70","1.67","0.14","0.00","0.17"
"Europe, UNECE, FOREST EUROPE","SRB","Serbia","2000-2010",0,100,0,0,"25.30","2.50","22.80","0.00","2.00"
"Europe, UNECE, FOREST EUROPE","SRB","Serbia","2010-2015",0,100,0,0,"1.40","0.40","1.00","0.09","6.50"
"Europe, UNECE, FOREST EUROPE","SRB","Serbia","2015-2020",0,100,0,0,"0.66","0.37","0.23","0.04","4.29"
"Africa","SSD","South Sudan","1990-2000",0,0,100,0,,,,,
"Africa","SSD","South Sudan","2000-2010",0,0,100,0,,,,,
"Africa","SSD","South Sudan","2010-2015",0,0,100,0,,,,,
"Africa","SSD","South Sudan","2015-2020",0,0,100,0,,,,,
"Espace COMIFAC, Africa","STP","Sao Tome and Principe","1990-2000",0,0,100,0,"0.00",,,"0.03",
"Espace COMIFAC, Africa","STP","Sao Tome and Principe","2000-2010",0,0,100,0,"0.00",,,"0.03",
"Espace COMIFAC, Africa","STP","Sao Tome and Principe","2010-2015",0,0,100,0,"0.00",,,"0.62",
