"regions","iso3","name","year","boreal","temperate","tropical","subtropical","1d_expansion","1d_afforestation","1d_nat_exp","1d_deforestation","1e_reforestation"
"International Tropical Timber Organization, South America","BRA","Brazil","2000-2010",0,0,97,3,"1178.51",,,"5129.30","367.61"
"International Tropical Timber Organization, South America","BRA","Brazil","2010-2015",0,0,97,3,"328.62",,,"1867.80","521.93"
"International Tropical Timber Organization, South America","BRA","Brazil","2015-2020",0,0,97,3,"242.66",,,"1695.70","257.13"
"North and Central America","BRB","Barbados","1990-2000",0,0,100,0,,,,,
"North and Central America","BRB","Barbados","2000-2010",0,0,100,0,,,,,
"North and Central America","BRB","Barbados","2010-2015",0,0,100,0,,,,,
"North and Central America","BRB","Barbados","2015-2020",0,0,100,0,,,,,
"Asia","BRN","Brunei Darussalam","1990-2000","0.00","0.00","100.00","0.00",,,,,
"Asia","BRN","Brunei Darussalam","2000-2010","0.00","0.00","100.00","0.00",,,,,
"Asia","BRN","Brunei Darussalam","2010-2015","0.00","0.00","100.00","0.00",,,,,
"Asia","BRN","Brunei Darussalam","2015-2020","0.00","0.00","100.00","0.00",,,,,
"Asia","BTN","Bhutan","1990-2000","0.00","100.00","0.00","0.00","9.93","0.02","9.91","0.00","0.02"
"Asia","BTN","Bhutan","2000-2010","0.00","100.00","0.00","0.00","10.12","0.16","9.96","0.19","0.16"
"Asia","BTN","Bhutan","2010-2015","0.00","100.00","0.00","0.00","2.32","0.20","2.12","0.34","0.20"
"Asia","BTN","Bhutan","2015-2020","0.00","100.00","0.00","0.00","2.41","0.20","2.21","0.43","0.20"
"Africa","BWA","Botswana","1990-2000",0,0,100,0,,,,,
"Africa","BWA","Botswana","2000-2010",0,0,100,0,,,,,
"Africa","BWA","Botswana","2010-2015",0,0,100,0,,,,,
"Africa","BWA","Botswana","2015-2020",0,0,100,0,,,,,
"International Tropical Timber Organization, Africa, Espace COMIFAC","CAF","Central African Republic","1990-2000",0,0,100,0,"0.00","0.00","0.00","30.00","2.00"
"International Tropical Timber Organization, Africa, Espace COMIFAC","CAF","Central African Republic","2000-2010",0,0,100,0,"0.00","0.00","0.00","30.00","2.50"
"International Tropical Timber Organization, Africa, Espace COMIFAC","CAF","Central African Republic","2010-2015",0,0,100,0,"0.00","0.00","0.00","30.00","3.76"
"International Tropical Timber Organization, Africa, Espace COMIFAC","CAF","Central African Republic","2015-2020",0,0,100,0,"0.00","0.00","0.00","30.00","5.76"
"North and Central America, Montreal Process, UNECE","CAN","Canada","1990-2000","77.00","23.00","0.00","0.00","7.32","7.33",,"54.42","481.08"
"North and Central America, Montreal Process, UNECE","CAN","Canada","2000-2010","77.00","23.00","0.00","0.00","2.47","2.47",,"50.45","471.28"
"North and Central America, Montreal Process, UNECE","CAN","Canada","2010-2015","77.00","23.00","0.00","0.00","0.00",,,"41.30","396.12"
"North and Central America, Montreal Process, UNECE","CAN","Canada","2015-2020","77.00","23.00","0.00","0.00","0.00",,,"37.52","427.16"
"FOREST EUROPE, Europe, UNECE, International Tropical Timber Organization","CHE","Switzerland","1990-2000",0,100,0,0,"5.43","0.08","3.46","1.16","8.64"
"FOREST EUROPE, Europe, UNECE, International Tropical Timber Organization","CHE","Switzerland","2000-2010",0,100,0,0,"4.90","0.07","3.12","1.05","8.93"
"FOREST EUROPE, Europe, UNECE, International Tropical Timber Organization","CHE","Switzerland","2010-2015",0,100,0,0,"4.78","0.00","3.36","1.34","6.58"
"FOREST EUROPE, Europe, UNECE, International Tropical Timber Organization","CHE","Switzerland","2015-2020",0,100,0,0,"4.78","0.00","3.36","1.34","6.67"
"Montreal Process, South America","CHL","Chile","1990-2000",0,"99.00",0,"1.00","67.21","63.61","3.60","10.11","42.84"
"Montreal Process, South America","CHL","Chile","2000-2010",0,"99.00",0,"1.00","105.03","53.24","51.79","14.21","60.17"
"Montreal Process, South America","CHL","Chile","2010-2015",0,"99.00",0,"1.00","185.43","11.24","174.19","11.27","87.34"
"Montreal Process, South America","CHL","Chile","2015-2020",0,"99.00",0,"1.00","132.32","2.44","129.89","9.40","84.31"
"Montreal Process, International Tropical Timber Organization, Asia","CHN","China","1990-2000",7,22,4,67,"2313.54","1185.00","1128.54","327.54","791.27"
"Montreal Process, International Tropical Timber Organization, Asia","CHN","China","2000-2010",7,22,4,67,"2673.74","1572.80","1100.94","312.76","378.13"
"Montreal Process, International Tropical Timber Organization, Asia","CHN","China","2010-2015",7,22,4,67,"2266.74","1220.90","1045.84","329.97","305.37"
"Montreal Process, International Tropical Timber Organization, Asia","CHN","China","2015-2020",7,22,4,67,"2069.99","1067.80","1002.19","133.20","272.74"
"Africa, International Tropical Timber Organization","CIV","Côte d'Ivoire","1990-2000",0,0,100,0,,,,,"13.91"
"Africa, International Tropical Timber Organization","CIV","Côte d'Ivoire","2000-2010",0,0,100,0,,,,,"8.68"
"Africa, International Tropical Timber Organization","CIV","Côte d'Ivoire","2010-2015",0,0,100,0,,,,,"4.38"
"Africa, International Tropical Timber Organization","CIV","Côte d'Ivoire","2015-2020",0,0,100,0,,,,,"17.74"
"International Tropical Timber Organization, Africa, Espace COMIFAC","CMR","Cameroon","1990-2000",0,0,100,0,"0.30","0.30","0.00","90.55",
